State ,!=,#,(,),*,+,£¬,-,/,;,<,<=,=,==,>,>=,const_int,else,id,if,int,return,void,while,{,},ActualParamList,AddExpression,AddExpressionLoop,AssignSentence,CallCheck,CallFunction,ConstValue,ElseSentenceBlock,Expression,ExpressionLoop,FTYPE,Factor,FactorLoop,FormalParam,FormalParamList,FunctionBegin,FunctionEnd,FunctionStmt,IfSentence,If_M1,If_M2,If_N,InternalStmt,InternalVariableStmt,Item,ItemLoop,Param,ParamLoop,Program,Relop,ReturnExpression,ReturnSentence,SB_M,Sentence,SentenceBlock,SentenceLoop,SentenceString,Stmt,StmtLoop,StmtString,StmtType,VariableStmt,WhileSentence,While_M1,While_M2,
69,r54, , , , ,s75, ,s76, ,r54,r54,r54, ,r54,r54,r54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
70, , ,s79, , , , , , , , , , , , , ,s81, ,s80, , , , , , , , , , , , , ,78, , , , ,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
71, , , ,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
72, , , , , , , , , , , , , , , , , , , , , , , , ,r42, , , , , , , , , , , , , , , , , , , , ,83, , , , , , , , , , , , , , , , , , , , , , , , , ,
73,s67, , ,r45, , , , , , ,s63,s66, ,s68,s64,s65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62, , , , , , , , , , , , , , , ,
74, , ,r61, , , , , , , , , , , , , ,r61, ,r61, , , , , , , , , , , , , , , , , , , ,85, , , , , , , , , , , ,84, , , , , , , , , , , , , , , , , , , , ,
75, , ,r55, , , , , , , , , , , , , ,r55, ,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
76, , ,r56, , , , , , , , , , , , , ,r56, ,r56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
77,r58, , , ,s86,r58, ,r58,s87,r58,r58,r58, ,r58,r58,r58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
78,r62, , , ,r62,r62, ,r62,r62,r62,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
